tier,entry,exit,split,n,median_hedged,mean_hedged,hit_rate,flag_small_n
T4,20,250,discovery,20,0.3105245498033402,0.23365538046742101,0.85,True
T4,20,250,validation,42,0.40719681321304513,0.31360598365809256,0.8333333333333334,False
T4,30,60,discovery,20,0.0243528918551447,0.02309630660465201,0.6,True
T4,30,60,validation,45,0.0653945253297698,-0.0023054121519498804,0.6444444444444445,False
T4,30,90,discovery,20,0.06146791973531465,0.08337645198997777,0.65,True
T4,30,90,validation,44,0.1431010994831607,0.07392794027340241,0.7045454545454546,False
T4,30,120,discovery,20,0.15748185000400533,0.1308462078465637,0.8,True
T4,30,120,validation,44,0.25755830433609783,0.16532530208669646,0.8636363636363636,False
T4,30,180,discovery,20,0.12536938754838917,0.13826312658735823,0.75,True
T4,30,180,validation,43,0.3129786966757192,0.269616946841711,0.8372093023255814,False
T4,30,250,discovery,20,0.2505969393815616,0.22293305648059855,0.8,True
T4,30,250,validation,42,0.37004078573719185,0.32137623800449766,0.8571428571428571,False
